route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
17,14,3819,"RvLN WATERFRONT ENTER CENTER",0,"343RL003",1996
17,14,3820,"RvLN WATERFRONT ENTER CENTER",0,"343RL006",1996
17,14,3821,"RvLN WATERFRONT ENTER CENTER",0,"343RL010",1996
17,14,3822,"RvLN CAMDEN",0,"343RL002",1997
17,14,3823,"RvLN TRENTON",1,"343RL003",1998
17,14,3824,"RvLN TRENTON",1,"343RL006",1998
17,14,3825,"RvLN TRENTON",1,"343RL010",1998
17,14,3826,"RvLN TRENTON",1,"343RL012",1998
17,14,3827,"RvLN TRENTON",1,"343RL004",1998
17,14,3828,"RvLN TRENTON",1,"343RL005",1998
17,14,3829,"RvLN TRENTON",1,"343RL014",1998
17,14,3830,"RvLN TRENTON",1,"343RL009",1998
17,14,3831,"RvLN TRENTON",1,"343RL011",1998
17,14,3832,"RvLN TRENTON",1,"343RL007",1998
17,14,3833,"RvLN TRENTON",1,"343RL003",1998
17,14,3834,"RvLN TRENTON",1,"343RL013",1998
17,14,3835,"RvLN TRENTON",1,"343RL010",1998
17,14,3836,"RvLN TRENTON",1,"343RL005",1998
17,14,3837,"RvLN TRENTON",1,"343RL014",1998
17,14,3838,"RvLN TRENTON",1,"343RL011",1998
17,14,3839,"RvLN TRENTON",1,"343RL003",1998
17,14,3840,"RvLN TRENTON",1,"343RL013",1998
17,14,3841,"RvLN TRENTON",1,"343RL010",1998
17,14,3842,"RvLN TRENTON",1,"343RL005",1998
17,14,3843,"RvLN TRENTON",1,"343RL014",1998
17,14,3844,"RvLN TRENTON",1,"343RL011",1998
17,14,3845,"RvLN TRENTON",1,"343RL003",1998
17,14,3846,"RvLN TRENTON",1,"343RL013",1998
17,14,3847,"RvLN TRENTON",1,"343RL010",1998
17,14,3848,"RvLN TRENTON",1,"343RL005",1998
17,14,3849,"RvLN TRENTON",1,"343RL016",1998
17,14,3850,"RvLN TRENTON",1,"343RL014",1998
17,14,3851,"RvLN TRENTON",1,"343RL018",1998
17,14,3852,"RvLN TRENTON",1,"343RL003",1998
17,14,3853,"RvLN TRENTON",1,"343RL021",1998
17,14,3854,"RvLN TRENTON",1,"343RL015",1998
17,14,3855,"RvLN TRENTON",1,"343RL017",1998
17,14,3856,"RvLN TRENTON",1,"343RL013",1998
17,14,3857,"RvLN TRENTON",1,"343RL019",1998
17,14,3858,"RvLN TRENTON",1,"343RL010",1998
17,14,3859,"RvLN TRENTON",1,"343RL020",1998
17,14,3860,"RvLN TRENTON",1,"343RL005",1998
17,14,3861,"RvLN TRENTON",1,"343RL014",1998
17,14,3862,"RvLN TRENTON",1,"343RL022",1998
17,14,3863,"RvLN TRENTON",1,"343RL015",1998
17,14,3864,"RvLN TRENTON",1,"343RL013",1998
17,14,3865,"RvLN TRENTON EXPRESS",1,"343RL001",1999
17,14,3866,"RvLN TRENTON EXPRESS",1,"343RL002",2000
17,14,3867,"RvLN TRENTON",1,"343RL007",2001
17,14,3868,"RvLN PENNSAUKEN RT 73 STATION",1,"343RL010",2002
